編號	群集	主題	對象	意圖	建議平台	收口層級	優先序
A1-01	A1 走失預防與協尋實務	長輩走失的第一個小時，該做的 7 件事（報案三不：不用等、不用跑、不用錢）	家屬	急救型搜尋	部落格／Threads	L0	P1
A1-02	A1 走失預防與協尋實務	報案前先準備好這 6 樣東西，協尋速度差很多	家屬	實用清單	FB 社團	L0	P1
A1-03	A1 走失預防與協尋實務	「愛的手鍊」怎麼申請？要錢嗎？誰可以申請？	家屬／照顧者	資訊型	部落格／IG	L0	P1
A1-04	A1 走失預防與協尋實務	愛的手鍊 vs 定位器：不是二選一，而是兩層防護	家屬	比較型	部落格	L1	P2
A1-05	A1 走失預防與協尋實務	指紋捺印要去哪裡辦？流程與注意事項	家屬	資訊型	部落格	L0	P3
A1-06	A1 走失預防與協尋實務	衣物縫名條的正確寫法（為什麼不該寫全名和地址）	照顧者	冷知識	Threads／IG	L0	P2
A1-07	A1 走失預防與協尋實務	失智長輩走失最常發生的 5 個時間點	家屬	洞察型	Threads	L0	P1
A1-08	A1 走失預防與協尋實務	走失熱點地圖：超商、公園、廟口、車站、舊家	家屬	洞察型	部落格	L0	P3
A1-09	A1 走失預防與協尋實務	從家裡到菜市場那 300 公尺，才是風險最高的一段	家屬	故事型	Threads／FB	L1	P2
A1-10	A1 走失預防與協尋實務	鄰里守望：跟這 7 家店打過招呼，找人快一倍	照顧者	實用	FB 社團	L0	P3
A1-11	A1 走失預防與協尋實務	里長、社區保全、管理員能幫你什麼（多數人沒用到）	照顧者	資訊	部落格	L0	P3
A1-12	A1 走失預防與協尋實務	協尋貼文怎麼寫才有效？照片要挑哪一張	家屬	教學	FB／Threads	L0	P2
A1-13	A1 走失預防與協尋實務	監視器調閱流程與「黃金 7 天」保存期限	家屬	資訊	部落格	L0	P2
A1-14	A1 走失預防與協尋實務	長輩重複走失怎麼辦：用一週紀錄找出他的行為模式	家屬	方法	部落格	L1	P2
A1-15	A1 走失預防與協尋實務	「遊走」不是故意離家：失智者出門的 6 種心理動機	家屬／公共	科普	Threads	L0	P1
