編號	生活群集	議題標題	切入形式	國際技術錨點	間接帶入點	建議平台	層級
C01-01	C01 上班族與通勤	你一年花多少時間在找東西？（30 秒問卷）	問卷調查	Apple Find My｜Tile	找東西的時間成本，是所有定位需求的共同起點	Threads／IG	L0
C01-02	C01 上班族與通勤	辦公室最常不見的五樣東西排行	市場調查	Google Find Hub｜Tile	資產定位不是工廠專利，辦公室也適用	Threads	L0
C01-03	C01 上班族與通勤	我在捷運上撿到一個小圓片，它把我嚇到了	個人發現	Apple AirTag｜IETF DULT 反追蹤標準	反追蹤警示怎麼運作，順勢談匿名回傳設計	Threads／Dcard	L1
C01-04	C01 上班族與通勤	通勤族的鑰匙掉落熱點地圖	現象觀察	Apple Find My 群眾網路	群眾網路在人多的地方才有用，這是誠實的前提	Threads	L1
C01-05	C01 上班族與通勤	為什麼你的手機可能正在幫陌生人找東西	冷知識	Apple Find My｜Google Find Hub	群眾網路的原理與匿名性，台灣也有自研版本	Mobile01／Threads	L1
C01-06	C01 上班族與通勤	筆電被偷之後，我學到的三件事	個人發現	Find My｜Find Hub	被動定位的極限與適用情境	Dcard	L1
C01-07	C01 上班族與通勤	公司財產編號貼紙，為什麼永遠對不上	現象觀察	BLE 資產標籤	盤點從人工走到自動的那一步	LinkedIn	L1
C01-08	C01 上班族與通勤	開放式辦公室，東西為什麼更容易不見	社會現狀	BLE AoA/AoD 區域判讀	區域級定位就夠用，不需要公分級	LinkedIn	L2
C01-09	C01 上班族與通勤	會議室的投影轉接頭都去哪了	現象觀察	Tile｜BLE 標籤	小資產的流失成本被嚴重低估	Threads	L0
C01-10	C01 上班族與通勤	遠距辦公後，公司設備追不回來的比例	市場調查	Find My｜企業 MDM	離開場域之後就失去視野，這是普遍問題	LinkedIn	L1
C01-11	C01 上班族與通勤	你願意讓公司知道你在哪嗎？（匿名投票）	問卷調查	去識別化群體統計	人員定位的倫理界線	Dcard／Threads	L0
C01-12	C01 上班族與通勤	上班打卡的下一步，會是什麼	現象觀察	BLE 區域感測	從打卡到區域判讀的演進	LinkedIn	L2
C01-13	C01 上班族與通勤	我把 AirTag 放進公事包一個月，發現了什麼	個人發現	Apple Find My	記錄軌跡與即時追蹤的差別	Mobile01	L2
C01-14	C01 上班族與通勤	午休出去吃飯，多久沒人找得到你	現象觀察	Bluetooth Channel Sounding	距離感知技術的日常應用	Threads	L1
C01-15	C01 上班族與通勤	那些被留在計程車上的東西	社會現狀	Find My｜Find Hub	跨場域的最後偵測位置有多實用	Threads	L1
C01-16	C01 上班族與通勤	雨傘的年失蹤率，可能比你想的高	冷知識	Tile｜BLE 標籤	低價物品是否值得裝定位的思辨	Threads	L0
C01-17	C01 上班族與通勤	如果每件公司資產都有座標，管理會變怎樣	跨界類比	Zebra RTLS 概念	從工廠資產定位延伸到辦公室	LinkedIn	L2
C02-01	C02 家庭育兒與學齡兒童	幼兒園門口，家長最怕的那三十秒	現象觀察	BLE 電子圍籬	出入口感測的原理與誤報控制	FB 社團	L1
C02-02	C02 家庭育兒與學齡兒童	你會讓小孩戴定位裝置嗎？（家長投票）	問卷調查	Apple Find My｜Google Find Hub	兒童定位的分寸與家長心理	FB／Threads	L0
C02-03	C02 家庭育兒與學齡兒童	校車上下車自動點名，國外已經這樣做	市場調查	BLE 車載閘道器校車考勤	同一技術可用在長照接送	產業媒體	L2
C02-04	C02 家庭育兒與學齡兒童	小孩把定位手錶拔掉的第七天	個人發現	Find My｜穿戴裝置	配戴意願才是真正的門檻	Dcard	L1
C02-05	C02 家庭育兒與學齡兒童	遊樂園走散的統計，比你想的頻繁	市場調查	UWB／FiRa 高精度定位	大型場域的人流與走散管理	Threads	L1
C02-06	C02 家庭育兒與學齡兒童	百貨公司廣播找小孩，為什麼還在用	社會現狀	BLE 區域判讀	廣播是上個世代的協尋方式	Threads	L1
C02-07	C02 家庭育兒與學齡兒童	書包裡塞一個標籤，我後來後悔了嗎	個人發現	Apple AirTag｜DULT	兒童定位的隱私與同意	Dcard	L1
C02-08	C02 家庭育兒與學齡兒童	三代同堂的家，誰在照顧誰	社會現狀	—	從育兒焦慮連到照顧焦慮	Threads	L0
C02-09	C02 家庭育兒與學齡兒童	家長群組裡最常被問的定位問題 TOP10	市場調查	Find My｜Find Hub｜Tile	用家長的語言整理品類知識	FB 社團	L1
C02-10	C02 家庭育兒與學齡兒童	兒童手錶與長輩手錶，需求其實相反	跨界類比	穿戴 GPS 裝置	兒童要互動，長輩要無感	部落格	L2
C02-11	C02 家庭育兒與學齡兒童	安親班到家的那段路，誰在看著	現象觀察	群眾網路｜車載接收	移動段的普遍缺口	FB 社團	L1
C02-12	C02 家庭育兒與學齡兒童	暑假走失通報會上升嗎（數據查核）	市場調查	警政統計	用數據破除或確認直覺	Threads	L0
C02-13	C02 家庭育兒與學齡兒童	露營帳篷區，小孩跑掉怎麼找	個人發現	Find My 精確尋找｜UWB	戶外低密度區的定位現實	Threads	L1
C02-14	C02 家庭育兒與學齡兒童	我用定位換來的不是安心，是新的焦慮	個人發現	—	科技不會消除焦慮，只會改變形狀	Dcard	L0
C02-15	C02 家庭育兒與學齡兒童	家裡失智長輩與學齡小孩同時要顧	社會現狀	BLE 群眾網路	三明治世代的雙向照顧	Threads／FB	L1
C02-16	C02 家庭育兒與學齡兒童	水壺、外套、餐袋：學校最常遺失的東西	現象觀察	Tile｜BLE 標籤	低價高頻遺失的成本累積	FB 社團	L0
C02-17	C02 家庭育兒與學齡兒童	把標籤縫進衣服，是保護還是監控	問卷調查	DULT 反追蹤標準	同意與知情的邊界	Threads	L0
C03-01	C03 寵物與毛小孩	貓走失後的黃金 72 小時	現象觀察	Apple Find My｜Tile	協尋黃金時間的跨物種共通性	FB 社團／Threads	L1
C03-02	C03 寵物與毛小孩	寵物晶片不是定位器，很多人搞錯了	冷知識	RFID 晶片 vs BLE 定位	被動識別與主動回報的差別，與愛心手鍊同理	Threads	L1
C03-03	C03 寵物與毛小孩	狗狗項圈定位器，續航是最大痛點	市場調查	Find My｜GPS 項圈	續航與配戴是所有定位品類的共同題	Mobile01	L2
C03-04	C03 寵物與毛小孩	你的貓一天走多遠？（軌跡紀錄實測）	個人發現	GPS 軌跡回放	軌跡回放的價值不只在找人	Threads	L1
C03-05	C03 寵物與毛小孩	寵物旅館最怕的一件事	現象觀察	BLE 電子圍籬	機構型場域的共同風險	產業媒體	L1
C03-06	C03 寵物與毛小孩	浪犬 TNR 的耳標，如果能回報位置	跨界類比	BLE 標籤	公共議題與定位技術的交會	Threads	L0
C03-07	C03 寵物與毛小孩	寵物公園的走失熱點	現象觀察	群眾網路密度	開放空間的定位限制	FB 社團	L1
C03-08	C03 寵物與毛小孩	颱風天，寵物走失通報會暴增嗎	市場調查	—	極端天氣與走失的相關性	Threads	L0
C03-09	C03 寵物與毛小孩	寵物定位器的價格帶，從 300 到 6000	市場調查	Tile｜Find My｜GPS 款	價格帶分層與功能落差	Mobile01	L2
C03-10	C03 寵物與毛小孩	我幫爸爸的狗裝了定位，然後想到爸爸	個人發現	Find My	從寵物自然過渡到長輩	Threads／Dcard	L1
C03-11	C03 寵物與毛小孩	老貓失智也會走失，你知道嗎	冷知識	—	跨物種的認知退化與遊走	Threads	L0
C03-12	C03 寵物與毛小孩	動物醫院的儀器也會不見	現象觀察	BLE 資產標籤	小型機構的資產管理	產業媒體	L1
C03-13	C03 寵物與毛小孩	帶寵物出國，行李與寵物袋怎麼追	個人發現	Apple Find My 行李追蹤	跨國移動的定位現實	Threads	L1
C03-14	C03 寵物與毛小孩	寵物走失協尋社團，效率有多高	現象觀察	群眾協尋	人肉網路與技術網路的互補	FB 社團	L0
C03-15	C03 寵物與毛小孩	晶片登記率與實際協尋率的落差	市場調查	農業部統計	登記不等於找得到	Threads	L0
C03-16	C03 寵物與毛小孩	定位項圈會不會讓狗不舒服	問卷調查	穿戴舒適度	配戴接受度的跨物種驗證	FB 社團	L1
C03-17	C03 寵物與毛小孩	如果定位器能藏在腳掌墊裡	跨界類比	—	無感配戴的設計思路，正是鞋墊的邏輯	Threads	L2
C04-01	C04 校園與補教	大學宿舍最常被偷的東西	市場調查	Tile｜Find My	校園資產與個人物品的流失	Dcard	L0
C04-02	C04 校園與補教	實驗室的儀器借用登記，永遠對不上	現象觀察	BLE 資產標籤	借還管理的自動化	Dcard／技術部落格	L1
C04-03	C04 校園與補教	校外教學點名，老師的惡夢	現象觀察	BLE 區域判讀｜車載考勤	群體移動的清點需求	FB 社團	L1
C04-04	C04 校園與補教	體育課的心率帶，其實也是定位裝置	冷知識	Catapult 運動科學	穿戴裝置的雙重用途	Threads	L1
C04-05	C04 校園與補教	補習班下課後那段路，家長在擔心什麼	現象觀察	群眾網路	移動段的家長焦慮	FB 社團	L1
C04-06	C04 校園與補教	校園霸凌的地點分布，能被看見嗎	社會現狀	區域熱區分析	定位資料的倫理界線	Threads	L0
C04-07	C04 校園與補教	學生證從刷卡到感應，下一步是什麼	現象觀察	BLE｜UWB	識別技術的演進路徑	技術部落格	L1
C04-08	C04 校園與補教	消防演練，學校要多久才能確認人到齊	現象觀察	BLE 人員盤點	演練盤點是工廠與校園的共同題	產業媒體	L2
C04-09	C04 校園與補教	特教班的學生安全，跟一般班不一樣	社會現狀	電子圍籬	特殊需求族群的非侵入式守護	FB 社團	L1
C04-10	C04 校園與補教	圖書館的書，為什麼還是會找不到	現象觀察	RFID｜BLE	定位與識別的分工	Threads	L1
C04-11	C04 校園與補教	畢業典禮那天，學校有多少人在場	跨界類比	人流計數	大型活動的人數掌握	Threads	L0
C04-12	C04 校園與補教	你在學校遺失過最貴的東西是什麼	問卷調查	—	用互動問題建立話題	Dcard	L0
C04-13	C04 校園與補教	宿舍門禁刷卡的資料，誰看得到	社會現狀	個資與最小權限	定位資料的權限設計	Dcard	L0
